scoreline,total_count,atp_count,wta_count
6-4 0-6 6-1,2,2,0
6-4 1-6 6-4,2,1,1
6-4 2-6 6-3,2,2,0
6-7 6-0 7-5,2,0,2
6-7 6-1 6-0,2,2,0
6-7 6-2 6-1,2,2,0
6-7 6-3 6-0,2,1,1
6-7 6-3 6-1,2,0,2
6-7 6-4 6-1,2,1,1
6-7 7-5 7-5,2,1,1
7-5 2-6 6-3,2,0,2
7-5 2-6 7-6,2,2,0
7-5 3-6 6-4,2,0,2
7-5 3-6 7-5,2,0,2
7-5 4-6 6-1,2,2,0
7-6 2-6 6-1,2,2,0
7-6 2-6 7-5,2,2,0
7-6 5-7 6-3,2,2,0
7-6 5-7 6-4,2,1,1
7-6 5-7 7-6,2,2,0
7-6 6-7 6-2,2,1,1
0-6 6-1 7-5,1,0,1
0-6 6-2 6-1,1,0,1
0-6 6-2 6-3,1,0,1
0-6 6-2 6-4,1,0,1
0-6 6-4 6-3,1,0,1
0-6 6-4 7-5,1,0,1
0-6 7-5 6-1,1,0,1
0-6 7-5 6-2,1,0,1
0-6 7-5 6-4,1,0,1
0-6 7-5 7-5,1,0,1
0-6 7-6 7-5,1,1,0
1-6 6-2 6-4,1,0,1
1-6 6-4 6-4,1,0,1
1-6 6-4 7-5,1,0,1
1-6 7-5 7-6,1,0,1
1-6 7-6 6-3,1,1,0
1-6 7-6 7-6,1,1,0
2-6 6-0 6-1,1,0,1
2-6 6-0 6-3,1,0,1
2-6 6-0 7-5,1,0,1
2-6 6-2 6-1,1,0,1
2-6 6-2 7-5,1,0,1
2-6 6-3 6-1,1,0,1
2-6 6-4 6-0,1,0,1
2-6 6-4 7-5,1,0,1
2-6 7-5 6-0,1,0,1
2-6 7-5 6-2,1,0,1
2-6 7-5 7-6,1,1,0
2-6 7-6 7-6,1,0,1
3-6 6-0 7-5,1,0,1
3-6 6-1 6-0,1,0,1
3-6 6-2 7-6,1,1,0
3-6 7-5 6-0,1,0,1
3-6 7-5 7-6,1,0,1
4-6 6-0 6-0,1,0,1
4-6 6-0 6-3,1,0,1
4-6 6-0 7-5,1,1,0
4-6 6-0 7-6,1,0,1
4-6 6-2 7-6,1,0,1
4-6 7-5 6-0,1,1,0
4-6 7-6 6-0,1,0,1
5-7 6-0 6-1,1,0,1
5-7 6-0 6-3,1,0,1
5-7 6-0 6-4,1,0,1
5-7 6-1 6-0,1,0,1
5-7 6-1 6-1,1,0,1
5-7 6-1 6-3,1,1,0
5-7 6-1 7-6,1,0,1
5-7 6-2 6-0,1,0,1
5-7 6-3 7-5,1,0,1
5-7 6-3 7-6,1,1,0
5-7 6-4 6-0,1,0,1
5-7 7-5 6-1,1,1,0
5-7 7-5 6-3,1,0,1
5-7 7-6 7-5,1,0,1
6-0 1-6 6-0,1,0,1
6-0 1-6 6-1,1,0,1
6-0 1-6 6-3,1,0,1
6-0 2-6 6-3,1,0,1
6-0 3-6 7-5,1,0,1
6-0 6-7 6-1,1,1,0
6-1 0-6 6-3,1,0,1
6-1 0-6 7-5,1,0,1
6-1 1-6 6-2,1,1,0
6-1 1-6 6-4,1,0,1
6-1 1-6 7-5,1,1,0
6-1 2-6 6-3,1,0,1
6-1 2-6 6-4,1,0,1
6-1 2-6 7-6,1,1,0
6-1 3-6 6-0,1,0,1
6-1 3-6 6-2,1,1,0
6-1 3-6 7-6,1,1,0
6-1 4-6 6-0,1,0,1
6-1 5-7 6-3,1,0,1
6-1 6-7 6-2,1,1,0
6-2 0-6 6-4,1,0,1
6-2 1-6 6-0,1,0,1
6-2 1-6 6-1,1,1,0
6-2 1-6 6-3,1,1,0
6-2 2-6 6-2,1,0,1
6-2 2-6 7-6,1,0,1
6-2 4-6 6-0,1,0,1
6-2 4-6 6-1,1,0,1
6-2 5-7 6-1,1,0,1
6-2 5-7 7-6,1,0,1
6-2 6-7 7-5,1,1,0
6-3 0-6 6-1,1,0,1
6-3 0-6 6-4,1,0,1
6-3 0-6 7-5,1,0,1
6-3 1-6 6-0,1,1,0
6-3 1-6 6-4,1,0,1
6-3 3-6 6-0,1,0,1
6-3 5-7 7-5,1,0,1
6-4 0-6 7-5,1,1,0
6-4 0-6 7-6,1,0,1
6-4 2-6 7-5,1,1,0
6-4 6-7 6-0,1,0,1
6-7 6-0 6-1,1,1,0
6-7 6-0 6-2,1,0,1
6-7 6-1 6-1,1,0,1
6-7 6-1 6-3,1,1,0
6-7 7-5 6-1,1,1,0
6-7 7-6 6-0,1,1,0
6-7 7-6 7-5,1,1,0
7-5 0-6 6-1,1,0,1
7-5 0-6 6-3,1,0,1
7-5 1-6 6-3,1,1,0
7-5 1-6 6-4,1,0,1
7-5 1-6 7-5,1,0,1
7-5 2-6 6-2,1,0,1
7-5 2-6 7-5,1,0,1
7-5 3-6 6-0,1,0,1
7-5 3-6 6-2,1,0,1
7-5 4-6 6-4,1,0,1
7-5 4-6 7-5,1,1,0
7-5 5-7 6-1,1,0,1
7-5 5-7 6-2,1,0,1
7-5 5-7 7-6,1,1,0
7-5 6-7 7-5,1,1,0
7-6 0-6 6-3,1,0,1
7-6 1-6 6-3,1,0,1
7-6 1-6 7-5,1,0,1
7-6 2-6 6-2,1,1,0
7-6 3-6 6-0,1,0,1
7-6 5-7 7-5,1,1,0
